route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
9F,Falaknuma Terminal,Borabanda,36,32,Borabanda Bus Stand,Falaknuma Terminal,6:00 AM,8:30 PM
225M,Keerthimahal / BHEL,Koti Bus Terminal,48,50,Koti Bus Terminus,Keerthimahal / BHEL,5:00 AM,8:05 PM
224K,ESI Hospital,Kazipally,25,29,Kazipally,Rythu Bazar Erragadda,6:30 AM,7:25 PM
223S,Patancheru Bus Terminal,Sanath Nagar,38,38,Sanath Nagar,Patancheru Bus Station,9:10 AM,9:40 PM
223G,Kukatpally Bus Depot,Keerthimahal / BHEL,44,44,Keerthimahal Bus Stop,Kukatpally Bus Depot,6:05 AM,6:30 PM
187P,Kukatpally Bus Depot,Pragathi Nagar,10,10,Pragathi Nagar Bus Stop,Kukatpally Bus Depot,5:14 AM,8:08 PM
185S,Allwyn Colony,Koti Bus Terminal,33,34,Koti Bus Terminus,Allwyn Colony,5:15 AM,9:50 PM
113EL,Uppal Bus Stand,Lingampally,75,74,Lingampally Bus Station,Uppal Gandhi Statue,7:30 AM,7:39 PM
83K,KPHB Colony,Kachiguda Bus Station,41,34,Kachiguda Bus Station,KPHB Colony,7:25 AM,7:00 PM
Secunderabad Bus Station – RGI Airport,RGI Airport,Secunderabad (Medchal),3,4,Secunderabad Bus Station 2,Rajiv Gandi International Airport (Shamshabad),3:30 AM,11:00 PM
156V,Mehdipatnam,NGOS Colony,41,39,NGOS Colony,Mehdipatnam Bus Stop,7:15 AM,8:30 PM
16A/5K,ECIL X Road,Gachibowli X Road,68,68,"Gachibowli,M L NAYAK",ECIL X Road,9:05 AM,9:44 PM
283S,Secunderabad Railway Station,Suraram,35,36,Suraram X- Road Bus Stop,Secunderabad Railway Station Bus Stop,6:31 AM,8:01 PM
272S,Bowrampet,Secunderabad (Medchal),32,33,Secunderabad Bus Station 2,Bowrampet Bus Stop,7:50 AM,5:50 PM
272M,Mallampet X Road,Secunderabad (Medchal),36,34,Secunderabad Bus Station 2,Mallampet X Roads Bus Stop,6:45 AM,9:15 PM
272K,ESI Hospital,Bowrampet,30,33,Bowrampet,Rythu Bazar Erragadda,6:25 AM,7:59 PM
272C,Shah Ali Banda,Bowrampet,48,50,Bowrampet,Shah Ali Banda,5:30 AM,6:40 PM
231B,Secunderabad (Medchal),Bachupally,30,31,Bachupally X Road,Secunderabad (Medchal),7:15 AM,4:00 PM
231,Nizampet X Road,Secunderabad (Medchal),22,25,Secunderabad Bus Station 2,Nizampet Road Bus Stop,5:10 AM,10:00 PM
230V,Secunderabad (Medchal),Jinnaram Village,37,36,Jinnaram Village,Secunderabad (Medchal),4:55 AM,6:40 PM
230P,Dundigal Chowrasta,Secunderabad (Medchal),43,42,Secunderabad Bus Station 2,Dundigal Chowrasta,8:50 AM,3:05 PM
230N,Kazipally,Ameerpet,37,35,Ameerpet,Kazipally,9:10 AM,9:10 PM
230G,Secunderabad (Medchal),Gagillapur X Road,35,34,Gagilapur X Road,Secunderabad (Medchal),8:40 AM,10:35 PM
226C,Secunderabad (Medchal),Keerthimahal / BHEL,39,38,Keerthimahal Bus Stop,Secunderabad (Medchal),7:10 AM,9:05 PM
226A,Secunderabad (Medchal),Patancheru Bus Terminal,51,50,Patancheru Bus Terminal,Secunderabad (Medchal),7:10 AM,7:50 PM
226,Patancheru Bus Terminal,Secunderabad Bus Station,49,49,Secunderabad Bus Station 2,Patancheru Bus Station,1:30 AM,10:40 PM
224S,Bollaram,Secunderabad (Medchal),46,46,Secunderabad Bus Station 2,New Bus Station,6:50 AM,9:17 PM
224/226,Secunderabad Bus Station,Miyapur Bus Depot,40,39,Miyapur bus depot,Secunderabad Bus Station 2,2:01 AM,8:29 PM
223JG,,,52,0,Jeedimetla Bus Depot,Patancheru Bus Station,,
223J,Patancheru Bus Terminal,Jeedimetla Bus Depot,52,48,Jeedimetla Bus Depot,Patancheru Bus Terminal,8:39 AM,9:00 AM
219,Patancheru Bus Terminal,Secunderabad Bus Station,49,62,Secunderabad Bus Station 2,Patancheru Bus Station,1:30 AM,7:04 AM
218D/L,,,70,0,NGOS Colony,Deepthisree Bus,,
183B,,,16,0,Balanagar Bus Stop,Jeedimetla Bus Depot,,
183AJ,Maithrivanam,Jeedimetla Bus Depot,32,34,Jeedimetla Bus Depot,Maithrivanam,6:01 AM,8:31 PM
183,Koti Bus Terminal,Jeedimetla,36,33,Jeedimetla Bus Depot,Koti Bus Terminal,5:30 AM,8:54 PM
171,Secunderabad Bus Station,Gajula Ramaram,36,35,Gajularamaram Bus Stop,Secunderabad Bus Station 2,6:00 AM,9:05 PM
41,Koti Bus Terminal,Jagadgirigutta,40,46,Jagadgiri Gutta Bus Stop,Koti Bus Terminal,4:45 AM,5:15 PM
33S,Allwyn Colony,Secunderabad (Medchal),29,28,Secunderabad Bus Station 2,Allwyn Colony,5:40 AM,3:00 PM
31V,Vasanth Nagar,Secunderabad (Medchal),29,30,Secunderabad Bus Station 2,Vasanth Nagar,6:05 AM,8:28 PM
31P,Sri Sai Nagar,Secunderabad (Medchal),40,39,Secunderabad Bus Station 2,Sri Sai Nagar,6:40 AM,9:10 PM
31M,Secunderabad (Medchal),Old MIG,36,38,Old MIG,Secunderabad (Medchal),5:00 AM,6:40 PM
31L,Secunderabad (Medchal),KPHB,24,25,K.P.H.B Main Road Bus Stop,Secunderabad (Medchal),5:50 AM,11:08 PM
31H,KPHB Colony,Secunderabad (Medchal),24,22,Secunderabad Bus Station 2,KPHB Colony,4:50 AM,7:20 PM
31A,Secunderabad (Medchal),Kukatpally,19,19,Kukatpally Bus Stop,Secunderabad (Medchal),4:15 AM,6:05 PM
30S,Secunderabad (Medchal),Srinivas Nagar Colony,29,27,Srinivas Nagar Colony,Secunderabad (Medchal),4:05 AM,11:27 AM
30M,Secunderabad (Medchal),Jagadgirigutta,28,23,Jagadgiri Gutta Bus Stop,Secunderabad (Medchal),5:10 AM,6:00 PM
30A,Secunderabad (Medchal),Allwyn X Road (Near Miyapur),42,39,Allwyn Colony X Road,Secunderabad (Medchal),11:51 PM,11:00 PM
29R/272,,,33,0,Secunderabad Bus Station 2,Gandimaysamma X Road Bus Stop,,
29R,Apurupa Colony,Secunderabad Bus Station,32,30,Secunderabad Bus Station 2,Apurupa Colony,5:10 AM,7:55 PM
